Sample,Tissue,Sex,Age
GTEX-13OW6-0011-R11a-SM-5L3H2,Cerebellar,Male,59.0
GTEX-145LU-0011-R11b-SM-5P9JX,Cerebellar,Male,50.0
GTEX-NL4W-0011-R11A-SM-2I3DW,Cerebellar,Male,53.0
GTEX-Q2AG-0011-R11A-SM-2HMKZ,Cerebellar,Female,42.0
GTEX-11OF3-0011-R11a-SM-57WCR,Cerebellar,Male,63.0
GTEX-T5JC-0011-R11A-SM-32PMB,Cerebellar,Male,27.0
GTEX-RVPV-0011-R11A-SM-2TF6F,Cerebellar,Male,67.0
GTEX-X585-0011-R11B-SM-46MUZ,Cerebellar,Male,56.0
GTEX-13VXU-0011-R11b-SM-5O9DJ,Cerebellar,Male,58.0
GTEX-13CZV-0011-R11b-SM-5N9FN,Cerebellar,Male,64.0
GTEX-P44G-0011-R11A-SM-2I3FD,Cerebellar,Male,34.0
GTEX-12WSH-0011-R11a-SM-5LZVM,Cerebellar,Male,59.0
GTEX-13NYB-0011-R11a-SM-5KM3Q,Cerebellar,Male,49.0
GTEX-13FLV-0011-R11a-SM-5LZZ7,Cerebellar,Male,50.0
GTEX-12126-0011-R11a-SM-5BC6X,Cerebellar,Male,23.0
GTEX-ZE9C-0011-R11a-SM-4WKGG,Cerebellar,Male,69.0
GTEX-144GL-0011-R11b-SM-5P9F6,Cerebellar,Male,57.0
GTEX-13NZA-0011-R11b-SM-5KM4W,Cerebellar,Male,64.0
GTEX-11ZUS-0011-R11b-SM-5BC7B,Cerebellar,Male,37.0
GTEX-12WSC-0011-R11a-SM-5GU5J,Cerebellar,Male,56.0
GTEX-13JVG-0011-R11a-SM-5KM53,Cerebellar,Male,64.0
GTEX-131XH-0011-R11a-SM-5EGLN,Cerebellar,Male,53.0
GTEX-WWYW-0011-R11A-SM-3NB38,Cerebellar,Female,52.0
GTEX-11WQC-0011-R11b-SM-57WD6,Cerebellar,Male,64.0
GTEX-13OW8-0011-R11a-SM-5L3GT,Cerebellar,Male,66.0
GTEX-13X6J-0011-R11a-SM-5P9HE,Cerebellar,Male,56.0
GTEX-N7MT-0011-R11A-SM-2I3DZ,Cerebellar,Female,68.0
GTEX-XMD1-0011-R11A-SM-4AT5J,Cerebellar,Male,67.0
GTEX-12ZZX-0011-R11a-SM-5DUVJ,Cerebellar,Female,49.0
GTEX-13OW7-0011-R11a-SM-5O9DY,Cerebellar,Male,53.0
GTEX-13FHO-0011-R11b-SM-5LZYQ,Cerebellar,Male,61.0
GTEX-ZF28-0011-R11a-SM-4WWEI,Cerebellar,Male,69.0
GTEX-WL46-0011-R11A-SM-3MJFT,Cerebellar,Male,53.0
GTEX-NL3H-0011-R11A-SM-2I3E6,Cerebellar,Male,60.0
GTEX-13RTJ-0011-R11a-SM-5O9CK,Cerebellar,Male,60.0
GTEX-12ZZZ-0011-R11a-SM-5EGLC,Cerebellar,Male,64.0
GTEX-XOTO-0011-R11B-SM-4B64O,Cerebellar,Male,59.0
GTEX-13OVL-0011-R11b-SM-5L3G7,Cerebellar,Male,50.0
GTEX-13OVH-0011-R11b-SM-5KM4X,Cerebellar,Male,70.0
GTEX-ZDXO-0011-R11a-SM-4WWD9,Cerebellar,Male,60.0
GTEX-Z93S-0011-R11a-SM-4RGNN,Cerebellar,Male,52.0
GTEX-WZTO-0011-R11A-SM-4E3K9,Cerebellar,Male,44.0
GTEX-1313W-0011-R11a-SM-5DUXN,Cerebellar,Female,54.0
GTEX-ZE7O-0011-R11a-SM-57WBC,Cerebellar,Female,57.0
GTEX-13QIC-0011-R11b-SM-5O9BU,Cerebellar,Female,65.0
GTEX-13FHP-0011-R11b-SM-5LZXP,Cerebellar,Male,56.0
GTEX-13PLJ-0011-R11b-SM-5O9BS,Cerebellar,Female,60.0
GTEX-13JUV-0011-R11a-SM-5LZYH,Cerebellar,Female,46.0
GTEX-NPJ8-0011-R11A-SM-2YUMS,Cerebellar,Male,40.0
GTEX-ZUA1-0011-R11b-SM-51MTI,Cerebellar,Male,46.0
GTEX-13O3Q-0011-R11b-SM-5KM2W,Cerebellar,Male,53.0
GTEX-131XW-0011-R11a-SM-5DUV9,Cerebellar,Female,51.0
GTEX-OHPN-0011-R11A-SM-2I5FM,Cerebellar,Female,61.0
GTEX-QDT8-0011-R11A-SM-32PKD,Cerebellar,Female,30.0
GTEX-TSE9-0011-R11A-SM-3DB7N,Cerebellar,Female,60.0
GTEX-RU72-0011-R11A-SM-2TF6J,Cerebellar,Female,59.0
GTEX-11GSP-0011-R11b-SM-5NQ7V,Cerebellar,Female,66.0
GTEX-13O3O-0011-R11b-SM-5KM4G,Cerebellar,Female,68.0
GTEX-X4XX-0011-R11A-SM-46MWQ,Cerebellar,Male,69.0
GTEX-YJ89-2926-SM-5P9IT,Cerebellum,Male,60.0
GTEX-11TTK-2826-SM-5GU5K,Cerebellum,Female,69.0
GTEX-ZDXO-2926-SM-4WKFM,Cerebellum,Male,60.0
GTEX-11ZUS-2826-SM-5EQKW,Cerebellum,Male,37.0
GTEX-R55F-1226-SM-2TF59,Cerebellum,Male,55.0
GTEX-P44G-2526-SM-2I5EK,Cerebellum,Male,34.0
GTEX-12ZZY-2926-SM-5DUXO,Cerebellum,Male,64.0
GTEX-139TS-3126-SM-5LZWX,Cerebellum,Male,61.0
GTEX-13OVH-2926-SM-5IJFH,Cerebellum,Male,70.0
GTEX-13OW8-2926-SM-5L3FV,Cerebellum,Male,66.0
GTEX-13OW7-2926-SM-5MR3Z,Cerebellum,Male,53.0
GTEX-NPJ7-2826-SM-2I3FU,Cerebellum,Female,68.0
GTEX-Z93S-2826-SM-57WBL,Cerebellum,Male,52.0
GTEX-11ZTS-3226-SM-5EGID,Cerebellum,Female,67.0
GTEX-13PVQ-2926-SM-5L3HJ,Cerebellum,Male,59.0
GTEX-145MH-2926-SM-5Q5D2,Cerebellum,Male,57.0
GTEX-14BIN-3326-SM-5Q5E6,Cerebellum,Female,56.0
GTEX-12WSB-3026-SM-59HKM,Cerebellum,Female,65.0
GTEX-XMD1-2826-SM-4AT5F,Cerebellum,Male,67.0
GTEX-11OC5-0626-SM-5HL6M,Cerebellum,Male,62.0
GTEX-T6MN-2526-SM-32PMN,Cerebellum,Male,51.0
GTEX-13X6K-2826-SM-5O9DS,Cerebellum,Female,61.0
GTEX-13OW6-2926-SM-5KM29,Cerebellum,Male,59.0
GTEX-13PDP-2926-SM-5N9E8,Cerebellum,Male,62.0
GTEX-WWYW-3026-SM-3NB36,Cerebellum,Female,52.0
GTEX-13CF2-3026-SM-5IFFX,Cerebellum,Male,61.0
GTEX-T5JC-2326-SM-32PMR,Cerebellum,Male,27.0
GTEX-12ZZZ-3126-SM-5LZU6,Cerebellum,Male,64.0
GTEX-Y111-2826-SM-4TT3O,Cerebellum,Male,50.0
GTEX-11EMC-3326-SM-5P9JH,Cerebellum,Female,66.0
GTEX-ZUA1-2926-SM-59HL3,Cerebellum,Male,46.0
GTEX-12WSD-3026-SM-5LZU7,Cerebellum,Female,64.0
GTEX-N7MT-1226-SM-2TC6K,Cerebellum,Female,68.0
GTEX-QDT8-3026-SM-32PKB,Cerebellum,Female,30.0
GTEX-1399T-3126-SM-5IJFS,Cerebellum,Male,67.0
GTEX-PWO3-1026-SM-2I5F2,Cerebellum,Female,69.0
GTEX-WZTO-2826-SM-3NM8P,Cerebellum,Male,44.0
GTEX-YFC4-3026-SM-5IFJK,Cerebellum,Female,47.0
GTEX-12WSC-2926-SM-5BC5Z,Cerebellum,Male,56.0
GTEX-11ZVC-3026-SM-59HJM,Cerebellum,Female,56.0
GTEX-WHSE-2926-SM-3NMBG,Cerebellum,Male,20.0
GTEX-14BIM-3126-SM-5Q5C7,Cerebellum,Female,64.0
GTEX-QVUS-2926-SM-3GIJB,Cerebellum,Female,69.0
GTEX-11PRG-2826-SM-5BC54,Cerebellum,Male,54.0
GTEX-T2IS-2926-SM-32QPO,Cerebellum,Female,24.0
GTEX-11GSP-3126-SM-5A5LL,Cerebellum,Female,66.0
GTEX-13OVJ-2726-SM-5IJG6,Cerebellum,Female,55.0
GTEX-13JVG-3226-SM-5IJGJ,Cerebellum,Male,64.0
GTEX-139UC-3226-SM-5N9EZ,Cerebellum,Male,67.0
GTEX-14A5I-2826-SM-5SIBF,Cerebellum,Female,53.0
GTEX-XLM4-2926-SM-4AT59,Cerebellum,Male,64.0
GTEX-139TT-2626-SM-5LZUB,Cerebellum,Male,60.0
GTEX-13FHO-2926-SM-5L3ES,Cerebellum,Male,61.0
GTEX-S7SE-2526-SM-2XCDL,Cerebellum,Male,58.0
GTEX-13X6I-2926-SM-5Q5C3,Cerebellum,Male,65.0
GTEX-X261-3126-SM-4PQZC,Cerebellum,Male,56.0
GTEX-13NZ8-3026-SM-5L3D4,Cerebellum,Female,69.0
GTEX-11DZ1-2926-SM-5A5KI,Cerebellum,Male,58.0
GTEX-ZAB4-2926-SM-57WCV,Cerebellum,Male,47.0
GTEX-11EQ8-2826-SM-5N9C1,Cerebellum,Male,69.0
GTEX-12WSM-2126-SM-5GCOC,Cerebellum,Male,63.0
GTEX-12WS9-2826-SM-5FQU9,Cerebellum,Female,59.0
GTEX-13112-2926-SM-5DUWT,Cerebellum,Male,52.0
GTEX-QMR6-1326-SM-32PLB,Cerebellum,Male,59.0
GTEX-13OVL-3026-SM-5IJF1,Cerebellum,Male,50.0
GTEX-145LS-3026-SM-5O99S,Cerebellum,Female,61.0
GTEX-13JUV-3026-SM-5K7WX,Cerebellum,Female,46.0
GTEX-132Q8-2926-SM-5IFFP,Cerebellum,Male,68.0
GTEX-11WQK-3126-SM-5EGI2,Cerebellum,Male,55.0
GTEX-145MI-3126-SM-5Q5CF,Cerebellum,Female,68.0
GTEX-P44H-2426-SM-2XCEJ,Cerebellum,Male,43.0
GTEX-12WSH-3126-SM-5LZW8,Cerebellum,Male,59.0
GTEX-UTHO-2926-SM-3P5Z9,Cerebellum,Male,68.0
GTEX-131YS-3026-SM-5EGHY,Cerebellum,Female,67.0
GTEX-14E7W-2926-SM-5S2R8,Cerebellum,Male,70.0
GTEX-131XH-2926-SM-5LZU4,Cerebellum,Male,53.0
GTEX-11DYG-2926-SM-5H132,Cerebellum,Male,63.0
GTEX-13S7M-3026-SM-5S2QQ,Cerebellum,Female,66.0
GTEX-13QIC-3026-SM-5LU58,Cerebellum,Female,65.0
GTEX-13FHP-2926-SM-5IJG9,Cerebellum,Male,56.0
GTEX-PVOW-2626-SM-32PL8,Cerebellum,Male,40.0
GTEX-14C5O-2926-SM-5RQI1,Cerebellum,Male,65.0
GTEX-11ONC-3026-SM-5985W,Cerebellum,Male,69.0
GTEX-ZAJG-3026-SM-5HL92,Cerebellum,Female,58.0
GTEX-ZZPT-2926-SM-5EQ5S,Cerebellum,Male,53.0
GTEX-ZVT3-2926-SM-5GU6M,Cerebellum,Female,67.0
GTEX-11DXW-1026-SM-5H11K,Cerebellum,Male,43.0
GTEX-13RTJ-3126-SM-5S2Q4,Cerebellum,Male,60.0
GTEX-111FC-3326-SM-5GZYV,Cerebellum,Male,61.0
GTEX-145MG-3126-SM-5Q5D3,Cerebellum,Male,55.0
GTEX-WL46-2826-SM-3LK81,Cerebellum,Male,53.0
GTEX-R55E-2526-SM-2TC6H,Cerebellum,Male,22.0
GTEX-12WSE-2926-SM-5RQJ9,Cerebellum,Male,25.0
GTEX-QVJO-1325-SM-2S1QX,Cerebellum,Female,64.0
GTEX-TSE9-2926-SM-3DB77,Cerebellum,Female,60.0
GTEX-13G51-3126-SM-5IJG7,Cerebellum,Male,69.0
GTEX-Q2AG-2826-SM-2HMJQ,Cerebellum,Female,42.0
GTEX-13O3O-3026-SM-5KM42,Cerebellum,Female,68.0
GTEX-ZF28-2926-SM-4WKG1,Cerebellum,Male,69.0
GTEX-RU72-2926-SM-2TF66,Cerebellum,Female,59.0
GTEX-13N2G-3126-SM-5IJGL,Cerebellum,Male,60.0
GTEX-13NYB-3226-SM-5J2ND,Cerebellum,Male,49.0
GTEX-11NV4-2226-SM-5BC4T,Cerebellum,Male,64.0
GTEX-14ASI-2926-SM-5Q5DG,Cerebellum,Male,61.0
GTEX-12126-0926-SM-5FQTW,Cerebellum,Male,23.0
GTEX-11OF3-3126-SM-5GU5E,Cerebellum,Male,63.0
GTEX-11EI6-2926-SM-5985U,Cerebellum,Male,62.0
GTEX-13VXU-3026-SM-5LU3K,Cerebellum,Male,58.0
GTEX-147F4-3026-SM-5Q5BJ,Cerebellum,Male,50.0
GTEX-13OW5-3126-SM-5MR3Y,Cerebellum,Male,62.0
GTEX-OHPN-2626-SM-2I5H1,Cerebellum,Female,61.0
GTEX-RNOR-2226-SM-2TF5O,Cerebellum,Female,52.0
GTEX-145LU-2626-SM-5LU9Z,Cerebellum,Male,50.0
GTEX-XOTO-2926-SM-4B65G,Cerebellum,Male,59.0
GTEX-11O72-2826-SM-5HL6W,Cerebellum,Male,48.0
GTEX-13FXS-3026-SM-5LZYO,Cerebellum,Male,59.0
GTEX-12696-3026-SM-5FQTU,Cerebellum,Male,68.0
GTEX-11GSO-3026-SM-5Q5AL,Cerebellum,Male,61.0
GTEX-Y8DK-0726-SM-4TT3S,Cerebellum,Male,62.0
GTEX-144GL-2926-SM-5O99F,Cerebellum,Male,57.0
GTEX-12ZZX-2826-SM-5BC6K,Cerebellum,Female,49.0
GTEX-11NUK-3026-SM-5986K,Cerebellum,Male,53.0
GTEX-1128S-2826-SM-5N9DI,Cerebellum,Female,66.0
GTEX-11DXY-3126-SM-5N9BT,Cerebellum,Male,62.0
GTEX-X4XX-2926-SM-3NMB1,Cerebellum,Male,69.0
GTEX-ZAK1-2926-SM-5HL9S,Cerebellum,Female,55.0
GTEX-13O3Q-3026-SM-5IJGD,Cerebellum,Male,53.0
GTEX-WVLH-2926-SM-3MJG5,Cerebellum,Male,58.0
GTEX-1269C-3126-SM-5EGI6,Cerebellum,Female,62.0
GTEX-1313W-3026-SM-5LZUZ,Cerebellum,Female,54.0
GTEX-14DAQ-3026-SM-5S2QZ,Cerebellum,Female,63.0
GTEX-1192X-3226-SM-5987D,Cerebellum,Male,55.0
GTEX-14A5I-2926-SM-5Q5CQ,Cortex,Female,53.0
GTEX-N7MT-1126-SM-5SI7V,Cortex,Female,68.0
GTEX-XLM4-3026-SM-4AT6L,Cortex,Male,64.0
GTEX-ZUA1-3026-SM-59HJC,Cortex,Male,46.0
GTEX-N7MT-1126-SM-2YUNQ,Cortex,Female,68.0
GTEX-13FLW-1426-SM-5K7YE,Cortex,Male,57.0
GTEX-13OW6-3026-SM-5J2MI,Cortex,Male,59.0
GTEX-145MG-3026-SM-5RQJA,Cortex,Male,55.0
GTEX-145MF-2726-SM-5O995,Cortex,Male,50.0
GTEX-YJ89-3026-SM-5IFJI,Cortex,Male,60.0
GTEX-ZAJG-3126-SM-5HL9J,Cortex,Female,58.0
GTEX-13NYS-3126-SM-5KLYV,Cortex,Male,63.0
GTEX-13O3Q-2926-SM-5KM45,Cortex,Male,53.0
GTEX-11O72-2926-SM-5BC4V,Cortex,Male,48.0
GTEX-YFC4-3126-SM-5PNV6,Cortex,Female,47.0
GTEX-ZE9C-3026-SM-4WKHB,Cortex,Male,69.0
GTEX-131XW-3126-SM-5LZUC,Cortex,Female,51.0
GTEX-ZZPT-3026-SM-5GZXH,Cortex,Male,53.0
GTEX-ZYFD-3026-SM-5E44C,Cortex,Male,55.0
GTEX-11GSO-2926-SM-5HL73,Cortex,Male,61.0
GTEX-ZAK1-3026-SM-5S2MJ,Cortex,Female,55.0
GTEX-WHSE-3026-SM-3P5ZH,Cortex,Male,20.0
GTEX-145MH-3026-SM-5Q5DZ,Cortex,Male,57.0
GTEX-139T8-1026-SM-5J2MC,Cortex,Male,62.0
GTEX-14BMV-3026-SM-5S2PQ,Cortex,Male,53.0
GTEX-12WSC-3026-SM-5GCNF,Cortex,Male,56.0
GTEX-12WSA-2926-SM-5EQ4D,Cortex,Male,67.0
GTEX-111FC-3126-SM-5GZZ2,Cortex,Male,61.0
GTEX-WWYW-3126-SM-3NB39,Cortex,Female,52.0
GTEX-13G51-3026-SM-5IJB8,Cortex,Male,69.0
GTEX-12ZZW-2926-SM-5LZUP,Cortex,Male,57.0
GTEX-145LS-3126-SM-5Q5BY,Cortex,Female,61.0
GTEX-OHPN-2526-SM-2I5H3,Cortex,Female,61.0
GTEX-OXRN-2426-SM-2I5EQ,Cortex,Male,59.0
GTEX-T2IS-3026-SM-32QPM,Cortex,Female,24.0
GTEX-WZTO-2926-SM-3NM9I,Cortex,Male,44.0
GTEX-QVJO-1426-SM-2S1QY,Cortex,Female,64.0
GTEX-12696-2926-SM-5FQTG,Cortex,Male,68.0
GTEX-11GSP-3226-SM-5986O,Cortex,Female,66.0
GTEX-13OW7-3026-SM-5L3GY,Cortex,Male,53.0
GTEX-P44G-2426-SM-2I5ER,Cortex,Male,34.0
GTEX-Y111-2726-SM-4TT3N,Cortex,Male,50.0
GTEX-144GL-3026-SM-5Q5CW,Cortex,Male,57.0
GTEX-13S7M-3126-SM-5RQJQ,Cortex,Female,66.0
GTEX-1117F-3226-SM-5N9CT,Cortex,Female,66.0
GTEX-11OF3-2926-SM-5HL78,Cortex,Male,63.0
GTEX-13JUV-2926-SM-5LZX7,Cortex,Female,46.0
GTEX-1313W-3126-SM-5LZUI,Cortex,Female,54.0
GTEX-11NUK-2926-SM-5A5MD,Cortex,Male,53.0
GTEX-ZE7O-3126-SM-5HL5X,Cortex,Female,57.0
GTEX-12WSD-3126-SM-5HL7P,Cortex,Female,64.0
GTEX-13FHO-3026-SM-5J1O9,Cortex,Male,61.0
GTEX-XMD1-2926-SM-4AT42,Cortex,Male,67.0
GTEX-11TUW-3126-SM-5GU4Y,Cortex,Male,66.0
GTEX-1128S-2726-SM-5H12C,Cortex,Female,66.0
GTEX-T6MN-2626-SM-32PMQ,Cortex,Male,51.0
GTEX-RNOR-2326-SM-2TF4I,Cortex,Female,52.0
GTEX-QMR6-1426-SM-32PLA,Cortex,Male,59.0
GTEX-12ZZZ-3026-SM-5BC67,Cortex,Male,64.0
GTEX-11PRG-2926-SM-5987A,Cortex,Male,54.0
GTEX-13QIC-2926-SM-5J2NF,Cortex,Female,65.0
GTEX-11ONC-2926-SM-5P9JM,Cortex,Male,69.0
GTEX-13PL6-3126-SM-5LUAR,Cortex,Female,44.0
GTEX-ZF28-3026-SM-4WKHP,Cortex,Male,69.0
GTEX-PWO3-0926-SM-2I5EY,Cortex,Female,69.0
GTEX-13O3O-3126-SM-5KM3H,Cortex,Female,68.0
GTEX-WL46-2926-SM-3LK82,Cortex,Male,53.0
GTEX-Z93S-2926-SM-57WB9,Cortex,Male,52.0
GTEX-Q2AG-2926-SM-2HMJ3,Cortex,Female,42.0
GTEX-11NV4-2126-SM-5N9DS,Cortex,Male,64.0
GTEX-13X6K-2926-SM-5Q5D5,Cortex,Female,61.0
GTEX-PVOW-2526-SM-2XCF7,Cortex,Male,40.0
GTEX-12ZZX-2926-SM-5GCOQ,Cortex,Female,49.0
GTEX-12WSH-3026-SM-5CVNI,Cortex,Male,59.0
GTEX-11ZUS-2926-SM-5FQSL,Cortex,Male,37.0
GTEX-QDT8-2926-SM-32PKC,Cortex,Female,30.0
GTEX-XOTO-3026-SM-4B65M,Cortex,Male,59.0
GTEX-11WQK-3026-SM-5EQL6,Cortex,Male,55.0
GTEX-NPJ7-2726-SM-2I3FT,Cortex,Female,68.0
GTEX-13JVG-3126-SM-5L3FH,Cortex,Male,64.0
GTEX-13OW8-2826-SM-5L3GC,Cortex,Male,66.0
GTEX-X4XX-3026-SM-3NMB2,Cortex,Male,69.0
GTEX-UTHO-3026-SM-3GAFB,Cortex,Male,68.0
GTEX-1399T-3026-SM-5KLZC,Cortex,Male,67.0
GTEX-ZVT3-3026-SM-5E43N,Cortex,Female,67.0
GTEX-Y8DK-0826-SM-4TT3T,Cortex,Male,62.0
GTEX-13OVH-3026-SM-5MR4N,Cortex,Male,70.0
GTEX-117XS-3026-SM-5N9CA,Cortex,Male,64.0
GTEX-13OVJ-2826-SM-5L3GW,Cortex,Female,55.0
GTEX-X585-3026-SM-46MWF,Cortex,Male,56.0
GTEX-QVUS-2826-SM-3GADB,Cortex,Female,69.0
GTEX-11GS4-3126-SM-5A5LH,Cortex,Male,61.0
GTEX-ZDXO-2126-SM-4WKFI,Cortex,Male,60.0
GTEX-ZYY3-3126-SM-5SI9L,Cortex,Female,67.0
GTEX-144FL-3026-SM-5O99C,Cortex,Male,56.0
GTEX-13IVO-2926-SM-5L3CZ,Cortex,Male,70.0
GTEX-13NYB-3026-SM-5IJD7,Cortex,Male,49.0
GTEX-147GR-3026-SM-5S2ML,Cortex,Male,65.0
GTEX-13NYC-2826-SM-5K7WR,Cortex,Male,67.0
GTEX-11EI6-3026-SM-5GZZO,Cortex,Male,62.0
GTEX-R55F-1326-SM-5S2V4,Cortex,Male,55.0
GTEX-13VXU-2926-SM-5LU5C,Cortex,Male,58.0
GTEX-13PVQ-3026-SM-5SI93,Cortex,Male,59.0
GTEX-12ZZY-3026-SM-5GCOU,Cortex,Male,64.0
GTEX-11OC5-0726-SM-5P9JK,Cortex,Male,62.0
GTEX-131YS-3126-SM-5KLYT,Cortex,Female,67.0
GTEX-13FXS-3126-SM-5J2NN,Cortex,Male,59.0
GTEX-13FHP-3026-SM-5IJBS,Cortex,Male,56.0
GTEX-12126-1026-SM-5P9JJ,Cortex,Male,23.0
GTEX-14ASI-3026-SM-5S2PN,Cortex,Male,61.0
GTEX-13SLX-3126-SM-5S2Q5,Cortex,Female,57.0
GTEX-RU72-3026-SM-5SI7Y,Cortex,Female,59.0
GTEX-R55F-1326-SM-2TF5F,Cortex,Male,55.0
GTEX-T5JC-2426-SM-3NMDB,Cortex,Male,27.0
GTEX-1192X-3126-SM-5N9BY,Cortex,Male,55.0
GTEX-139UC-3126-SM-5J1OY,Cortex,Male,67.0
GTEX-TSE9-3026-SM-3DB76,Cortex,Female,60.0
GTEX-WVLH-3026-SM-3MJG9,Cortex,Male,58.0
GTEX-132Q8-3026-SM-5PNVG,Cortex,Male,68.0
GTEX-11TTK-2926-SM-5PNYP,Cortex,Female,69.0
GTEX-1445S-3026-SM-5O9BR,Cortex,Male,64.0
GTEX-13X6J-3026-SM-5Q5CU,Cortex,Male,56.0
GTEX-11EMC-3226-SM-5EGKW,Cortex,Female,66.0
GTEX-11DXW-1126-SM-5H12Q,Cortex,Male,43.0
GTEX-12WS9-2926-SM-5EGL8,Cortex,Female,59.0
GTEX-12WSM-0011-R10a-SM-5DUWV,Frontal_Cortex,Male,63.0
GTEX-X585-0011-R10A-SM-46MUY,Frontal_Cortex,Male,56.0
GTEX-OHPN-0011-R10A-SM-2I5FL,Frontal_Cortex,Female,61.0
GTEX-13QJC-0011-R10a-SM-5SI63,Frontal_Cortex,Female,68.0
GTEX-147F4-0011-R10b-SM-5S2WC,Frontal_Cortex,Male,50.0
GTEX-13FLV-0011-R10b-SM-5LZZ2,Frontal_Cortex,Male,50.0
GTEX-131XW-0011-R10a-SM-5DUVA,Frontal_Cortex,Female,51.0
GTEX-12WSA-0011-R10b-SM-5P9ET,Frontal_Cortex,Male,67.0
GTEX-12ZZY-0011-R10b-SM-5HL7W,Frontal_Cortex,Male,64.0
GTEX-13X6I-0011-R10a-SM-5PNWI,Frontal_Cortex,Male,65.0
GTEX-WZTO-0011-R10B-SM-4E3KB,Frontal_Cortex,Male,44.0
GTEX-TSE9-0011-R10A-SM-3DB7O,Frontal_Cortex,Female,60.0
GTEX-ZUA1-0011-R10a-SM-51MT6,Frontal_Cortex,Male,46.0
GTEX-OHPN-0011-R10A-SM-33HBU,Frontal_Cortex,Female,61.0
GTEX-1477Z-0011-R10b-SM-5S2RF,Frontal_Cortex,Male,65.0
GTEX-QMR6-0011-R10A-SM-32PKO,Frontal_Cortex,Male,59.0
GTEX-13OW7-0011-R10a-SM-5L3H3,Frontal_Cortex,Male,53.0
GTEX-13QIC-0011-R10a-SM-5O9C7,Frontal_Cortex,Female,65.0
GTEX-WWYW-0011-R10A-SM-3NB35,Frontal_Cortex,Female,52.0
GTEX-RU72-0011-R10A-SM-2TF6D,Frontal_Cortex,Female,59.0
GTEX-14BIL-0011-R10a-SM-5SI75,Frontal_Cortex,Male,54.0
GTEX-12ZZX-0011-R10b-SM-5DUWK,Frontal_Cortex,Female,49.0
GTEX-13NZA-0011-R10b-SM-5KM54,Frontal_Cortex,Male,64.0
GTEX-X4XX-0011-R10B-SM-46MWO,Frontal_Cortex,Male,69.0
GTEX-13SLW-0011-R10a-SM-5S2UI,Frontal_Cortex,Male,70.0
GTEX-ZV68-0011-R10a-SM-51MT7,Frontal_Cortex,Female,57.0
GTEX-13N1W-0011-R10b-SM-5MR4H,Frontal_Cortex,Male,70.0
GTEX-13X6J-0011-R10b-SM-5PNWA,Frontal_Cortex,Male,56.0
GTEX-QVJO-0011-R10A-SM-2S1QJ,Frontal_Cortex,Female,64.0
GTEX-13OVL-0011-R10a-SM-5L3GS,Frontal_Cortex,Male,50.0
GTEX-13FTZ-0011-R10b-SM-5KLZS,Frontal_Cortex,Male,67.0
GTEX-13NYB-0011-R10a-SM-5KM43,Frontal_Cortex,Male,49.0
GTEX-12ZZZ-0011-R10a-SM-5P9HC,Frontal_Cortex,Male,64.0
GTEX-QDT8-0011-R10A-SM-32PKG,Frontal_Cortex,Female,30.0
GTEX-ZVT3-0011-R10b-SM-57WB6,Frontal_Cortex,Female,67.0
GTEX-WVLH-0011-R10A-SM-3MJFM,Frontal_Cortex,Male,58.0
GTEX-WL46-0011-R10A-SM-3MJFQ,Frontal_Cortex,Male,53.0
GTEX-1313W-0011-R10b-SM-5DUXA,Frontal_Cortex,Female,54.0
GTEX-13N2G-0011-R10a-SM-5MR34,Frontal_Cortex,Male,60.0
GTEX-ZXG5-0011-R10a-SM-57WDD,Frontal_Cortex,Male,66.0
GTEX-12WSC-0011-R10a-SM-5GU57,Frontal_Cortex,Male,56.0
GTEX-12WSD-0011-R10b-SM-5GU79,Frontal_Cortex,Female,64.0
GTEX-11GSP-0011-R10a-SM-5NQ7J,Frontal_Cortex,Female,66.0
GTEX-11WQC-0011-R10a-SM-57WCT,Frontal_Cortex,Male,64.0
GTEX-OHPN-0011-R10A-SM-5S2U3,Frontal_Cortex,Female,61.0
GTEX-OXRO-0011-R10A-SM-2I5EH,Frontal_Cortex,Female,62.0
GTEX-12WSH-0011-R10a-SM-5LZUS,Frontal_Cortex,Male,59.0
GTEX-13NYS-0011-R10a-SM-5MR4S,Frontal_Cortex,Male,63.0
GTEX-X261-0011-R10B-SM-4E3JT,Frontal_Cortex,Male,56.0
GTEX-145MG-0011-R10a-SM-5PNWG,Frontal_Cortex,Male,55.0
GTEX-Q2AG-0011-R10A-SM-2HMLA,Frontal_Cortex,Female,42.0
GTEX-X4XY-0011-R10B-SM-46MWS,Frontal_Cortex,Male,62.0
GTEX-YJ89-0011-R10a-SM-4SOK9,Frontal_Cortex,Male,60.0
GTEX-13JVG-0011-R10b-SM-5KM2P,Frontal_Cortex,Male,64.0
GTEX-13OW6-0011-R10a-SM-5L3HE,Frontal_Cortex,Male,59.0
GTEX-1445S-0011-R10a-SM-5PNWB,Frontal_Cortex,Male,64.0
GTEX-14BIN-0011-R10a-SM-5S2UA,Frontal_Cortex,Female,56.0
GTEX-XMD1-0011-R10A-SM-4AT4A,Frontal_Cortex,Male,67.0
GTEX-11WQK-0011-R10a-SM-5BC6R,Frontal_Cortex,Male,55.0
GTEX-13FLW-0011-R10b-SM-5LZZF,Frontal_Cortex,Male,57.0
GTEX-14ASI-0011-R10b-SM-5S2VZ,Frontal_Cortex,Male,61.0
GTEX-13OVJ-0011-R10b-SM-5L3HT,Frontal_Cortex,Female,55.0
