"","Amygdala","Anterior","Caudate","Cerebellar","Cerebellum","Cortex","Frontal_Cortex","Hippocampus","Hypothalamus","Nucleus_Accumbens","Putamen","Spinal_Cord","Substantia_Nigra","Blood"
"GTEX-T6MN",1,0,1,1,1,1,1,1,1,1,1,1,1,0
"GTEX-TSE9",1,0,1,1,1,1,1,1,1,1,1,1,0,0
"GTEX-UTHO",1,1,1,1,1,1,1,1,0,1,0,0,1,0
"GTEX-WHSE",1,1,1,1,1,1,0,1,1,1,1,0,1,0
"GTEX-WL46",0,1,1,1,1,1,1,1,0,1,1,1,1,0
"GTEX-WVLH",1,0,1,1,1,1,1,1,1,1,1,0,1,0
"GTEX-WWYW",0,0,1,1,1,1,1,1,1,1,1,0,0,0
"GTEX-WZTO",1,1,1,1,1,1,1,1,1,1,1,0,0,0
"GTEX-X261",0,0,1,1,1,0,1,0,1,1,1,0,0,0
"GTEX-X4XX",1,1,1,1,1,1,1,1,1,1,1,0,1,0
"GTEX-X4XY",0,0,0,0,0,0,1,0,1,1,0,0,0,0
"GTEX-X585",1,1,1,1,0,1,1,1,1,1,0,0,1,0
"GTEX-XLM4",1,1,0,1,1,1,1,0,1,1,1,0,1,0
"GTEX-XMD1",0,1,1,1,1,1,1,1,1,1,0,0,1,0
"GTEX-XOTO",0,1,1,1,1,1,0,1,1,1,1,1,0,0
"GTEX-Y111",0,0,0,0,1,1,0,0,0,0,0,0,0,0
"GTEX-Y8DK",0,1,1,1,1,1,1,1,0,1,1,0,0,0
"GTEX-YFC4",1,1,1,1,1,1,1,1,0,1,1,1,1,0
"GTEX-YJ89",0,1,1,1,1,1,1,1,1,1,1,1,1,0
"GTEX-Z93S",0,1,1,1,1,1,1,0,1,1,1,0,1,0
"GTEX-ZAB4",1,1,0,0,1,0,0,1,1,1,1,1,1,0
"GTEX-ZAJG",0,0,0,0,1,1,0,0,0,0,0,0,0,0
"GTEX-ZAK1",0,0,0,0,1,1,0,0,0,0,0,0,0,0
"GTEX-ZDXO",0,1,1,1,1,1,1,1,1,1,1,0,1,0
"GTEX-ZE7O",0,0,1,1,0,1,1,1,0,1,1,0,0,0
"GTEX-ZE9C",1,1,1,1,0,1,0,0,0,1,1,1,1,0
"GTEX-ZF28",0,1,1,1,1,1,1,1,1,1,1,1,0,0
"GTEX-ZUA1",0,1,1,1,1,1,1,1,1,1,1,0,0,0
"GTEX-ZV68",0,0,1,0,0,0,1,0,0,1,1,0,1,0
"GTEX-ZVT3",0,1,1,1,1,1,1,0,1,1,1,0,0,0
"GTEX-ZVZQ",1,1,1,1,0,0,0,1,1,1,1,1,0,0
"GTEX-ZXG5",0,0,1,0,0,0,1,0,1,1,1,0,0,0
"GTEX-ZYFD",0,0,0,0,0,1,0,0,0,0,0,0,0,0
"GTEX-ZYY3",0,0,0,0,0,1,0,0,0,0,0,0,0,0
"GTEX-ZZPT",0,0,0,0,1,1,0,0,0,0,0,0,0,0
